"team","quarter","year","n_plays","n_pass","n_rush","yards_pass","yards_rush"
"ARI",1,2014,270,154,116,1083,403
"ARI",1,2015,245,142,103,1303,374
"ARI",1,2016,259,144,115,897,478
"ARI",1,2017,245,138,107,989,359
"ARI",1,2018,200,105,95,884,357
"ARI",1,2019,208,119,89,732,581
"ARI",1,2020,232,144,88,845,389
"ARI",1,2021,199,118,81,954,411
"ARI",1,2022,174,100,74,633,370
"ARI",1,2023,183,104,79,544,392
"ARI",2,2014,256,177,79,1315,264
"ARI",2,2015,279,186,93,1444,458
"ARI",2,2016,300,213,87,1466,400
"ARI",2,2017,271,175,96,1330,374
"ARI",2,2018,198,124,74,641,218
"ARI",2,2019,238,147,91,1035,396
"ARI",2,2020,268,163,105,1491,376
"ARI",2,2021,245,151,94,1224,380
"ARI",2,2022,255,173,82,1016,264
"ARI",2,2023,208,111,97,642,432
"ARI",3,2014,215,128,87,944,291
"ARI",3,2015,225,126,99,1197,510
"ARI",3,2016,202,112,90,877,347
"ARI",3,2017,212,125,87,877,314
"ARI",3,2018,180,103,77,507,266
"ARI",3,2019,190,125,65,924,278
"ARI",3,2020,254,148,106,1102,474
"ARI",3,2021,208,129,79,1257,355
"ARI",3,2022,202,124,78,882,384
"ARI",3,2023,155,76,79,527,300
"ARI",4,2014,250,155,95,1119,289
"ARI",4,2015,274,147,127,1163,606
"ARI",4,2016,299,212,87,1410,427
"ARI",4,2017,286,195,91,1203,356
"ARI",4,2018,278,187,91,1269,401
"ARI",4,2019,225,132,93,941,560
"ARI",4,2020,257,142,115,1029,552
"ARI",4,2021,262,136,126,971,545
"ARI",4,2022,248,170,78,984,347
"ARI",4,2023,205,151,54,1050,234
"ARI",5,2014,0,0,0,0,0
"ARI",5,2015,0,0,0,0,0
"ARI",5,2016,16,10,6,124,17
"ARI",5,2017,11,8,3,77,9
"ARI",5,2018,0,0,0,0,0
"ARI",5,2019,14,10,4,84,13
"ARI",5,2020,9,4,5,23,45
"ARI",5,2021,0,0,0,0,0
"ARI",5,2022,8,6,2,36,7
"ARI",5,2023,0,0,0,0,0
"ATL",1,2014,218,123,95,918,389
"ATL",1,2015,239,146,93,1129,361
"ATL",1,2016,231,140,91,1275,453
"ATL",1,2017,255,150,105,1123,381
"ATL",1,2018,226,137,89,1139,430
"ATL",1,2019,242,141,101,955,414
"ATL",1,2020,229,132,97,1077,375
"ATL",1,2021,219,125,94,755,428
"ATL",1,2022,182,92,90,625,396
"ATL",1,2023,151,84,67,511,277
"ATL",2,2014,285,210,75,1703,276
"ATL",2,2015,299,195,104,1393,416
"ATL",2,2016,267,170,97,1408,418
"ATL",2,2017,253,154,99,1292,513
"ATL",2,2018,252,177,75,1480,301
"ATL",2,2019,244,179,65,1332,233
"ATL",2,2020,315,217,98,1496,302
"ATL",2,2021,233,150,83,970,316
"ATL",2,2022,165,87,78,750,386
"ATL",2,2023,223,129,94,876,348
"ATL",3,2014,235,139,96,1531,419
"ATL",3,2015,265,148,117,1106,517
"ATL",3,2016,254,146,108,1581,533
"ATL",3,2017,200,107,93,846,445
"ATL",3,2018,228,139,89,987,459
"ATL",3,2019,219,139,80,1158,300
"ATL",3,2020,221,129,92,850,375
"ATL",3,2021,205,128,77,1013,292
"ATL",3,2022,166,59,107,352,652
"ATL",3,2023,196,99,97,657,474
"ATL",4,2014,270,187,83,1289,290
"ATL",4,2015,261,170,91,1313,296
"ATL",4,2016,204,104,100,892,493
"ATL",4,2017,253,142,111,1210,482
"ATL",4,2018,266,190,76,1626,355
"ATL",4,2019,269,207,62,1590,243
"ATL",4,2020,279,180,99,1271,417
"ATL",4,2021,221,140,81,1064,208
"ATL",4,2022,177,70,107,645,498
"ATL",4,2023,235,115,120,1069,488
"ATL",5,2014,3,1,2,0,4
"ATL",5,2015,4,4,0,24,0
"ATL",5,2016,7,4,3,22,-3
"ATL",5,2017,0,0,0,0,0
"ATL",5,2018,0,0,0,0,0
"ATL",5,2019,0,0,0,0,0
"ATL",5,2020,0,0,0,0,0
"ATL",5,2021,0,0,0,0,0
"ATL",5,2022,12,5,7,80,42
"ATL",5,2023,0,0,0,0,0
"BAL",1,2014,199,107,92,719,368
"BAL",1,2015,223,132,91,974,381
"BAL",1,2016,260,159,101,1243,497
"BAL",1,2017,221,124,97,746,346
"BAL",1,2018,221,115,106,759,569
"BAL",1,2019,200,99,101,871,649
"BAL",1,2020,228,98,130,784,671
"BAL",1,2021,202,107,95,706,440
"BAL",1,2022,182,98,84,614,310
"BAL",1,2023,188,107,81,936,354
"BAL",2,2014,277,173,104,1249,527
"BAL",2,2015,267,180,87,1310,303
"BAL",2,2016,303,234,69,1405,328
"BAL",2,2017,271,176,95,1253,441
"BAL",2,2018,290,185,105,1310,390
"BAL",2,2019,191,108,83,773,566
"BAL",2,2020,262,144,118,911,723
"BAL",2,2021,244,148,96,1142,388
"BAL",2,2022,201,126,75,891,421
"BAL",2,2023,212,132,80,1104,439
"BAL",3,2014,249,152,97,1057,342
"BAL",3,2015,264,175,89,1261,337
"BAL",3,2016,224,137,87,901,365
"BAL",3,2017,243,132,111,847,518
"BAL",3,2018,273,135,138,875,711
"BAL",3,2019,208,116,92,906,516
"BAL",3,2020,209,92,117,680,732
"BAL",3,2021,211,125,86,958,328
"BAL",3,2022,171,83,88,522,590
"BAL",3,2023,158,85,73,601,472
"BAL",4,2014,291,158,133,1293,767
"BAL",4,2015,315,211,104,1408,434
"BAL",4,2016,276,181,95,1209,371
"BAL",4,2017,290,155,135,834,555
"BAL",4,2018,238,120,118,723,524
"BAL",4,2019,251,115,136,875,616
"BAL",4,2020,214,88,126,680,620
"BAL",4,2021,263,172,91,1190,378
"BAL",4,2022,202,85,117,598,589
"BAL",4,2023,190,79,111,557,453
"BAL",5,2014,0,0,0,0,0
"BAL",5,2015,13,5,8,11,24
"BAL",5,2016,0,0,0,0,0
"BAL",5,2017,3,1,2,0,8
"BAL",5,2018,21,12,9,42,45
"BAL",5,2019,5,1,4,1,5
"BAL",5,2020,2,1,1,9,2
"BAL",5,2021,31,16,15,131,80
"BAL",5,2022,0,0,0,0,0
"BAL",5,2023,10,7,3,7,8
"BUF",1,2014,235,138,97,855,323
"BUF",1,2015,228,116,112,850,609
"BUF",1,2016,191,101,90,702,559
"BUF",1,2017,211,113,98,830,442
"BUF",1,2018,219,114,105,753,349
"BUF",1,2019,203,119,84,733,317
"BUF",1,2020,245,161,84,1102,353
"BUF",1,2021,198,123,75,766,375
"BUF",1,2022,184,114,70,866,298
"BUF",1,2023,188,121,67,862,292
"BUF",2,2014,258,161,97,991,422
"BUF",2,2015,267,138,129,995,468
"BUF",2,2016,275,157,118,880,699
"BUF",2,2017,243,154,89,961,410
"BUF",2,2018,235,133,102,933,411
